index,backdrop_path,overview,poster_path,original_language,vote_average,origin_country,parentTconst,title_series,genres,startYear,genres_,voisin1,voisin2,voisin3,voisin4
80,/o1nR94dBFSeqIObHdT8C0WllR67.jpg,"It deals with the state structure, political events, wars of the Great Seljuk Empire and the life of Sultan Alparslan.",/4wKqK8T1wTdhXfhnZzz2TuJE2Zh.jpg,tr,8.6,['TR'],tt15087526,Alparslan: Büyük Selçuklu,Action & Adventure,2021.0,1,Alparslan: Büyük Selçuklu,Binsenjo,Mehmetçik Kut'ül Amare,Trop
81,/3Fvrl7H2m2CP1IFBnVamCsrvKLq.jpg,"A sexual scandal between a math teacher and a student in a prestigious high school ended in tragedy. 4 years later they meet again, now as adults, to reveal the corruptions in school and to regain one's reputation as a teacher.",/cn3CIR5LaKubPmzOv5jsxcQQwkZ.jpg,ko,7.6,['KR'],tt15146242,Mellangkollia,Drama,2021.0,0,Mellangkollia,SAS Rogue Heroes,Le Serpent,Law School
82,/7kB3zPoFkDrBEbkWxfIG3XMEOsm.jpg,"35-year-old Audrey, the only survivor of a mysterious serial killer who raged in the Biarritz region 16 years earlier, is brutally taken back to her past by a new crime: a 17-year-old girl is found murdered on the Basque coast. Nothing links this murder to the series of crimes committed in the early 2000s by the ""Itsas Killer,"" but Audrey is certain that Itsas is back.",/hGXHPbk95RNZ4Yhht84EGRkSEoL.jpg,fr,7.0,['FR'],tt15239192,J'ai menti,Drama,2021.0,0,La Fortuna,J'ai menti,The Responder,Suits
83,/pA4t1a58gQPhzdKJMUjFvUYwmWu.jpg,"In late 19th-century Turin, the young Lidia Poët, fights against everything and everyone to get what is rightfully hers: to be enrolled in the official register of lawyers. A profession, at the time, reserved exclusively for men. Nevertheless, nothing could stop her dream of becoming the first female lawyer in Italy.",/bhTLskf3XNALpk3tZGm7lG2ChAx.jpg,it,7.3,['IT'],tt15441160,Lidia fait sa loi,Drama,2023.0,0,Lidia fait sa loi,Alert,Black Knight,The Recruit
84,/aAVRi7XqkJZE6uUEn2Enbhj8rPx.jpg,"The tight-knit Garvey sisters have always looked out for one another. But when the toxic brother-in-law they all wanted dead actually dies, it turns their lives upside down and tests their bond like nothing before.",/2koAJYgO1AT73a0xA8Zg30Brw98.jpg,en,7.529,['GB'],tt15469618,Bad Sisters,Comedy,2022.0,5,Bad Sisters,Unlock My Boss,Kid Sister,Family Matter
85,/rGkjtv6UdL1ysDmZuBjbNl3PAA1.jpg,"Sunny, a brilliant small-time artist is catapulted into the high-stakes world of counterfeiting when he creates the perfect fake currency note, even as Michael, a fiery, unorthodox task force officer wants to rid the country of the counterfeiting menace. In this thrilling cat-and-mouse race, losing is not an option!",/cTS86RwEBIDgCgUmjWQTSoPsK6p.jpg,hi,7.8,['IN'],tt15477488,Faux,Drama,2023.0,0,Story of Kunning Palace,Faux,The Way Home,Un jour
86,/ozhagEF9CnUF21gZi6r1gkcOl8o.jpg,"End of the winter season in “Les Cimes”, a small ski resort in the Swiss Alps. As the snow melts, the body of a murdered woman appears near the French border. At the head of the investigation, Inspector Sterenn Peiry, however, keeps a dark secret...",/pTGwOkbvB0MvPxw96GCXev1J8lr.jpg,fr,7.2,['CH'],tt15479692,Hors-saison,Crime,2022.0,2,Hors-saison,Hors-Saison: Une enquêtrice prise au piège,Piste Noire,Dark Winds
87,/ozhagEF9CnUF21gZi6r1gkcOl8o.jpg,"End of the winter season in “Les Cimes”, a small ski resort in the Swiss Alps. As the snow melts, the body of a murdered woman appears near the French border. At the head of the investigation, Inspector Sterenn Peiry, however, keeps a dark secret...",/pTGwOkbvB0MvPxw96GCXev1J8lr.jpg,fr,7.2,['CH'],tt15479692,Hors-Saison: Une enquêtrice prise au piège,Crime,2022.0,2,Hors-saison,Hors-Saison: Une enquêtrice prise au piège,Piste Noire,Dark Winds
88,/dkEzyB7oZsCZc1uBG0ltgEiFojS.jpg,"Using modern forensic science techniques and criminalistics to revisit the violent murder of an Egyptian pharaoh, the inexplicable disappearance of two young princes, the questionable suicide of a troubled artist, and more cold cases.",/3DrXuK8lhrJIMzx5AVT8Iz4Riw9.jpg,de,9.0,['DE'],tt15625682,Cold Case,Documentary,2021.0,7,Cold Case,RoOT - Route of OddTaxi -,Brassic,Waverly Place: les nouveaux sorciers
89,/o6rx5lTNKbt5UFestOmQ34en1do.jpg,"In 1979 an avalanche catches Tony Mammoth unaware - thought dead, Tony is brought back to the land of the living in 2021.",/56iodaqSedC7kjhMZUk6dfEQyNE.jpg,en,7.0,['GB'],tt15868638,Mammoth,Comedy,2024.0,5,Mammoth,Such Brave Girls,Dreamland,Lopez contre Lopez
90,/rey2eh6752C2UbGYRileKk1PVTo.jpg,A fledgling lawyer at the CIA that becomes enmeshed in dangerous international power politics when a former asset threatens to expose the nature of her long-term relationship with the agency unless they exonerate her of a serious crime.,/mLbFg0u2DPYuB5CILzwWk3kdI8b.jpg,en,7.4,['US'],tt16030542,The Recruit,Drama,2022.0,0,The Recruit,Alert,Black Knight,Hi Cookie
91,/vXbSoGHWtzViIgHxcD3tqLTr0lc.jpg,"A chronicle of the lives of the aristocratic Crawley family and their servants in the post-Edwardian era—with great events in history having an effect on their lives and on the British social hierarchy.

",/7HgDYRYjym4BwbhKaqTQq771SKb.jpg,en,8.1,['GB'],tt1606375,Downton Abbey,Drama,2010.0,0,Downton Abbey,Lark Rise to Candleford,True Detective,Nord et Sud
92,/37cfVRhYW9ylMqH0ok1sSZXcWWN.jpg,Two men from prominent families vie for the affections of a beautiful yet dangerous woman.,/13JdedQwxn9hhTM3wFbZL12aFfU.jpg,es,7.316,['CO'],tt1612716,Rosario Tijeras,Action & Adventure,2010.0,1,Rosario Tijeras,Sin senos no hay paraíso,Braquo,Tree with Deep Roots
93,/gCLhbOZJaYv5HjKMU4aMntLMUQs.jpg,"Once upon a time in a beautiful yet mysterious country, there lived three sisters named Türkan, Dönüş, and Derya. As a close-knit family, they would dream of a promising future every night. Perhaps such an upbringing, that was similar to a fairy tale on the pine-scented streets of Ayvalık, had not prepared them for the grim reality of adulthood. Over time, the sisters discover that life and the choices that are accompanied by it are not as easy as they seem. Inconceivable secrets can be hidden even by those who are trusted the most and horrific illnesses can lead to the resurrection of the past. This leads them to the question: Is there anything in the world that time cannot heal?",/3kaHac8zpJykxVdXM6Fse3AYj9W.jpg,tr,7.4,['TR'],tt16259122,Üç Kiz Kardes,Family,2022.0,9,Üç Kiz Kardes,Bandish Bandits,The School Nurse Files,The Search for WondLa
94,/4zP0CfrUBQFWMlWoB4p8aS4D4IA.jpg,"After spending graduation night together, Emma and Dexter go their separate ways — but their lives remain intertwined.",/9QXmXBXlMoe8GgFij9vZpgJPWg1.jpg,en,7.8,['GB'],tt16283804,Un jour,Drama,2024.0,0,Un jour,Story of Kunning Palace,The Way Home,Faux
95,/g9Ofv2yQ0mXKXMaqNIMdpKCKZqi.jpg,"Ibrahim reluctantly accepts becoming the legal guardian of his estranged daughter for six months, setting himself up for hilarious and lifechanging experiences.",/e1qHXztAV1cd1xcn53zF1WzBIro.jpg,ar,7.6,['EG'],tt16442566,Family Matter,Comedy,2021.0,5,Family Matter,Bad Sisters,Unlock My Boss,Kid Sister
96,/oijt2MxpCZQfhPwW62df0Vv5zTe.jpg,"The plot of the series takes us to Zaglav, the road to the remote area divides Zaglav into two opposing camps, on one side is the Macan family, newly rich and guest workers, and two opposing camps. All three families are connected by a godfather and interest will clash in the race for money and decide the fate of the place.",/h8gfcNpLgJoQYE1ELFaOv17oOix.jpg,hr,7.8,['HR'],tt16636212,Kumovi,Comedy,2022.0,5,Kumovi,Harlem,Tyler Perry's Young Dylan,Family Matter
97,/ipWV7ecNa7NZkCXkaom1Ns6Dp3o.jpg,"In a dystopian 2071 devastated by air pollution, the survival of humanity depends on the Black Knights — and they’re far from your average delivery men.",/ucz3ZboT2Sb12yum51Q4J8M0myb.jpg,ko,7.4,['KR'],tt17013106,Black Knight,Drama,2023.0,0,Black Knight,Alert,Hi Cookie,The Recruit
98,/2tbcQK7H3t1ia3pArvNt4ZXyL7T.jpg,"Moritaka Mashiro, a high school student, is persuaded by his classmate, Akito Takagi, to become an aspiring manga artist when the latter realizes his natural talent as an artist. However, Moritaka is reluctant as his uncle, once an artist with his own manga, died from overwork. With Akito's help, Moritaka gets his school crush, Azuki Miho, who is an aspiring voice actress, to act in the anime adaptation of their future manga once it is completed. However, Mashiro also proposes to Azuki, who surprisingly accepts only on the condition she will marry him when both of them have achieved their dreams. With a goal set before him, Mashiro begins a long and struggling path to become a famous manga artist.",/qV9YKERarwB1ppOY33gcEif3FkZ.jpg,ja,8.1,['JP'],tt1738419,Bakuman,Animation,2010.0,3,Bakuman,Re: Zero - Starting Life in Another World,A Favorita,Snapped : les femmes tueuses
99,/crA00CIs9jFpn2BkhrBTtjF1afG.jpg,"They're comedians starring in a thrilling drama, but if their jokes don't land in the unscripted scenes, they're off the show. Let the mayhem begin!",/ccrIAENWOZE7gcXFrTwL8QqcW99.jpg,ja,7.2,['JP'],tt18246842,Last One Standing,Comedy,2022.0,5,Last One Standing,Love in Translation,Lopez contre Lopez,Dreamland
100,/wge5FrHo6GLb4RpP9Ud1VvjEQap.jpg,"When police officer Nikki Batista’s son goes missing, she joins the Philadelphia Police Department's Missing Person’s Unit (MPU) to help other people find their loved ones, even as she searches for her own. Six years later, her world is turned upside-down when her ex-husband, Jason Grant, a former police officer, shows up with a proof-of-life photo of their missing boy. Or is it?",/kwJ91wfllDsXF3yi9Cvf57uQTNM.jpg,en,7.4,['US'],tt18699118,Alert,Drama,2023.0,0,Black Knight,Alert,Hi Cookie,The Recruit
101,/crXtVaUWKDd2CihDmKGD6dUyMAV.jpg,"Sisters Josie and Billie and their single mother Deb navigate life armed with nothing but poor judgement and self-esteem exclusively tied to people who couldn't care less about them. They're vain, selfish, heavily in debt, pathologically desperate for affection and bursting with misplaced, terrifying love.",/7g60yren32dIyR0ZsMFPXWn3vGt.jpg,en,7.0,['GB'],tt18974452,Such Brave Girls,Comedy,2023.0,5,Such Brave Girls,Mammoth,Dreamland,Lopez contre Lopez
102,/c1wBucDd0HkgLOOkXYDmHBvsgXo.jpg,"Lulu, a loveable train wreck, goes on a laugh-out-loud ride as she struggles to balance her love of family and culture with finding her own path… one mistake at a time.",/5Xlk4X8VrufpOIbPqCKkH4tI74S.jpg,en,7.5,['NZ'],tt18988144,Kid Sister,Comedy,2022.0,5,Unlock My Boss,Kid Sister,Bad Sisters,Family Matter
103,/rMz3QvVJjeOvBwGBUDS8cArMLlf.jpg,"The life of the French actor Brigitte Bardot and model from 1949, when she first appeared on the cover of a magazine, to the birth of her son in 1960.",/5fAHVS8C88mWvwzMWqchNwYVcQO.jpg,fr,7.1,['FR'],tt19001296,Brigitte Bardot,Drama,2023.0,0,Bardot,Brigitte Bardot,Sakla Beni,Boat Story
104,/rMz3QvVJjeOvBwGBUDS8cArMLlf.jpg,"The life of the French actor Brigitte Bardot and model from 1949, when she first appeared on the cover of a magazine, to the birth of her son in 1960.",/5fAHVS8C88mWvwzMWqchNwYVcQO.jpg,fr,7.1,['FR'],tt19001296,Bardot,Drama,2023.0,0,Bardot,Brigitte Bardot,Sakla Beni,Boat Story
105,/iORnoqhHk0lRNDzRn742CesETyJ.jpg,"Adam turns into a lawyer in a large law firm by chance, when he reveals his secret to lawyer Zain, and together they handle many challenging cases.",/gBDSstcj7PRKWVM6p12hxD8en2w.jpg,ar,7.0,['EG'],tt19495202,Suits,Drama,2022.0,0,The Responder,Suits,J'ai menti,La Fortuna
106,/xKTpmQX2lzNHelImWyp7iFO0x1o.jpg,"Young Hind faces many embarrassing situations becouse of her mother Halima work, who works as a Folk music singer. And Hind is shocked when the man he dreamed of marrying broke up with her when he learns about her mother's work. Her suffering will increase after Omar El Maataoui, a businessman in his fifties, expressed his love for her and challenged his family to marry her.",/ulHIge4T8b7WqJdvUsI7unnpTfH.jpg,ar,10.0,['MA'],tt19876162,L'Maktoub,Drama,2022.0,0,L'Maktoub,Al Atawla,Blank,The Green Veil
107,/cvlZIRWqkwlTzMZ632nM1opQQrN.jpg,"Dr. Draya Logan, a renowned marriage and sex therapist, finds herself entangled in lies, sex and murder.",/hO5fNwb819dRwAS6XjDSNbgvP1D.jpg,en,8.1,['US'],tt20195430,Hush,Drama,2022.0,0,Hush,The First Responders,Zakhm Kari,Mortal Wound
108,/odiblaAand1lsrVbFUV48KAyClg.jpg,"When three generations of women reunite after being estranged for more than two decades, they embark on an enlightening – and surprising – journey toward healing none of them could have imagined as they learn how to find their way back to each other.",/avKyE55YwWNSLE24IGDRSfpPnaJ.jpg,en,7.8,['US'],tt20221678,The Way Home,Drama,2023.0,0,Story of Kunning Palace,Faux,The Way Home,Un jour
112,/gArCVC4ML529WMCEqOXbALdQbUq.jpg,"Dr. Goro is reborn as the son of the young starlet Ai Hoshino after her delusional stalker murders him. Now, he wants to help his new mother rise to the top, but what can a child do about the dark underbelly of the entertainment industry?",/okbW9NdKRNKgIUTVA8YZAUGwIUx.jpg,ja,8.4,['JP'],tt21030032,L'Enfant d'une Star,Animation,2023.0,3,Ma Star,L'Enfant d'une Star,SPY×FAMILY,DENGELER: Biri Olmak
113,/gArCVC4ML529WMCEqOXbALdQbUq.jpg,"Dr. Goro is reborn as the son of the young starlet Ai Hoshino after her delusional stalker murders him. Now, he wants to help his new mother rise to the top, but what can a child do about the dark underbelly of the entertainment industry?",/okbW9NdKRNKgIUTVA8YZAUGwIUx.jpg,ja,8.4,['JP'],tt21030032,Ma Star,Animation,2023.0,3,Ma Star,L'Enfant d'une Star,SPY×FAMILY,DENGELER: Biri Olmak
114,/spIS4UBGFi5gh6LWFgTn7FvTBO8.jpg,"Heiress Saikhim reunites with her former love Kaokla, once a mechanic and now the heir to a wealthy businesswoman. As she steps up to protect her father’s hotel empire, Saikhim must face off against her scheming sister-in-law and jealous relatives, all determined to take her inheritance.",/rizLDJjdRAaHU8xQ3tLga0MScar.jpg,th,7.7,['TH'],tt21054088,Bad Romeo,Drama,2022.0,0,Minuit au Pera Palace,Bad Romeo,Kazara Ask,Law School
115,/iAnNhCoBKUXWoTxgmGYrv2Qc8Dm.jpg,"A group of fun-loving American girls burst onto the scene in tightly corseted 1870s London, kicking off an Anglo-American culture clash. Sent to secure husbands and status, the buccaneers' hearts are set on much more than that.",/y8uWvyxHqD0RyS1NCBpt0nwgWR.jpg,en,7.5,['GB'],tt21108774,The Buccaneers,Drama,2023.0,0,Pit Babe,The Buccaneers,Hi Cookie,Black Knight
116,/9IVth8N1J212lA1uwxzKb3hp1Hj.jpg,"Brace yourselves - the new kids are here. Five talented black scholarship students, and an elite private school with a reputation problem. One of them will have to change...",/fHcPEs8rDXW4mwlOZxbVXxowl4M.jpg,en,8.2,['GB'],tt21438656,Boarders,Comedy,2024.0,5,Boarders,True Beauty,RoOT - Route of OddTaxi -,Eobiseu
118,/xuFNUGqEJ4cKNR7eKCowhDruhSd.jpg,"A musically talented teenager returns to her native Buenos Aires with her father, Herman, after living in Europe for several years, navigating the trials and tribulations of growing up.",/b3MUGJeKakAZwQa7lNJxTP1pJmD.jpg,es,8.1,['AR'],tt2171665,Violetta,Family,2012.0,9,Violetta,Master's Sun,Binny et le fantôme,Karagül
119,/p4rJTY1rvQrffoh2P09sty5cz8B.jpg,"When unidentified parasites violently take over human hosts and gain power, humanity must rise to combat the growing threat.",/9UPneQ4NF7g6WDNSFE5qyt88wJn.jpg,ko,7.6,['KR'],tt21874396,Parasyte: The Grey,Sci-Fi & Fantasy,2024.0,8,Parasyte: The Grey,The Search for WondLa,The Time Traveler's Wife,The School Nurse Files
120,/bxcQnlLH0eHZCwhQXTosA9WUECN.jpg,"An ordinary family faces a catastrophe: the serious illness of one of its children. Each member of the family sees their personal life impacted by this ordeal. Disasters make people more human, though not necessarily better.",/gnClHiuu8TWPzWOVVHC8S94Hzlx.jpg,fr,7.7,['FR'],tt21913366,Tout va bien,Drama,2023.0,0,Tout va bien,Trillion Game,Minuit au Pera Palace,Bad Romeo
121,/89d4BfmI9AXwXq1rnWRXFRE9B02.jpg,"In town of Margate, Eldest sister Trish is pregnant and expecting a girl baby. Her sisters Clare and Leila rally around her with their mum. But other sister Mel makes an unexpected return threatens to destabilize the entire family.",/ky2SYYS3D36XLt6LVsU0BYiDzme.jpg,en,7.1,['GB'],tt22008216,Dreamland,Comedy,2023.0,5,Dreamland,Lopez contre Lopez,Such Brave Girls,Love in Translation
122,/duqDegWMQyfLIhdMkE9bVECiX4C.jpg,"Dodging landslides in Tajikistan. Crossing bridges that could collapse at any moment in Madagascar. Battling mountain monkeys in Guyana. Journeying on icy, mountainous roads in Ladkh. Every day, children, migrants and workers undertake incredible journeys. In this action packed series, we tell their stories.",/wHgvs5zhgh3LXqs7TmI27Wpt2TP.jpg,en,7.5,['US'],tt2211761,Deadliest Journeys,Documentary,2008.0,7,Deadliest Journeys,Les Routes de l'impossible,Les Survivants,"State of play, jeux de pouvoir"
123,/duqDegWMQyfLIhdMkE9bVECiX4C.jpg,"Dodging landslides in Tajikistan. Crossing bridges that could collapse at any moment in Madagascar. Battling mountain monkeys in Guyana. Journeying on icy, mountainous roads in Ladkh. Every day, children, migrants and workers undertake incredible journeys. In this action packed series, we tell their stories.",/wHgvs5zhgh3LXqs7TmI27Wpt2TP.jpg,en,7.5,['US'],tt2211761,Les Routes de l'impossible,Documentary,2008.0,7,Deadliest Journeys,Les Routes de l'impossible,Les Survivants,"State of play, jeux de pouvoir"
124,/eesuJC91i5MPGOZvEtoa11cPqe5.jpg,Father Brown is based on G. K. Chesterton's detective stories about a Catholic priest who doubles as an amateur detective in order to try and solve mysteries.,/u8LUC3O1hiEDKP2SFZK68iYqMzl.jpg,en,7.5,['GB'],tt2215842,Father Brown,Drama,2013.0,0,Father Brown,D'une vie à l'autre,Tree with Deep Roots,Poldark
125,/vquWKQnwFIro7hQYhphUf7AH5J9.jpg,"Celia and Alan are both widowed and in their seventies. When their respective grandsons put their details on Facebook, they rediscover a passionate relationship that started over sixty years ago.",/kpIubS7v8ClGhlW3pciGnvzMQYP.jpg,en,7.1,['GB'],tt2216156,Last Tango in Halifax,Drama,2012.0,0,Last Tango in Halifax,Petits secrets entre voisins,Jugement céleste. Continuation,A.D. La guerre de l'ombre
126,/oNDHclLsVdjEuHTpyw0kcZ2TP7Z.jpg,"Deep Rooted Tree is a 2011 South Korean television series starring Jang Hyuk, Shin Se-kyung and Han Suk-kyu. Based on the novel of the same title by Lee Jeong-myeong, it aired on SBS from October 5 to December 22, 2011 on Wednesdays and Thursdays at 21:55 for 24 episodes.

Taking its name from the poem Yongbieocheonga that says that trees with deep roots do not sway, the series tells the story of a royal guard investigating a case involving the serial murders of Jiphyeonjeon scholars in Gyeongbok Palace while King Sejong comes to create the Korean written language.",/cBM4HLNMQs1UBrORf3T3tfEtuHz.jpg,ko,7.3,['KR'],tt2221405,Tree with Deep Roots,Drama,2011.0,0,Tree with Deep Roots,D'une vie à l'autre,Last Tango in Halifax,Father Brown
127,/82qpvU7AzT9D8oC02fIceb5KAz8.jpg,"An American anthology police detective series utilizing multiple timelines in which investigations seem to unearth personal and professional secrets of those involved, both within or outside the law.",/cuV2O5ZyDLHSOWzg3nLVljp1ubw.jpg,en,8.294,['US'],tt2356777,True Detective,Drama,2014.0,0,True Detective,A Chacun(e) sa guerre,The Last Kingdom,Trop
128,/na5t9LuKBv2Ys5iO8lmJ6yG46dW.jpg,A police station and a fire station adjoining each other cooperate in combating crime and fire in the most brutal and tragic cases.,/ccEYx9NoZvDJRw8Ji2E7yJYLXwt.jpg,ko,8.176,['KR'],tt23635250,The First Responders,Drama,2022.0,0,The First Responders,Mortal Wound,Zakhm Kari,Hush
129,/pWY74gqzHiqOuGoqIExKPJKHOma.jpg,"Two hard-up strangers stumble across a haul of cocaine on a shipwrecked boat. After agreeing to sell it and split the cash, they become entangled with police, masked hitmen, and a sharp-suited gangster known as 'The Tailor'.",/gaSiJDRPSgVAUHcP8GRz0Tsw0HS.jpg,en,7.0,['GB'],tt23729238,Boat Story,Drama,2023.0,0,Sakla Beni,Boat Story,The Responder,Suits
131,/bJfkWXQDKLEdEzwakrEArAqtISP.jpg,"At the brink of his death, the CEO and founder of an IT company's spirit gets stuck inside a smartphone and enlists the help of a young man to do favors on his behalf in exchange for 10 billion won.",/8SmsIBU2v4AWNNhFi5qfSUOT4ZN.jpg,ko,7.5,['KR'],tt24082562,Unlock My Boss,Comedy,2022.0,5,Unlock My Boss,Kid Sister,Bad Sisters,Family Matter
132,/5QfelKLlKiAnyHMqttUW1nxt0Ri.jpg,"Alanur, a modern and strong businesswoman, and Ziya, a businessman from Antakya, who is close to his traditions, had a great love in the past. Because their families were against this love, they unintentionally separated and started other lives.

Mehmet, the pupil of his mother Seher, is Ziya's eldest son, who plans to quit his job in the future.

A dance enthusiast full of life, Aslı is Alanur's 19-year-old girl studying in the last year of French high school, where she has carefully designed every move of her future. Alanur and Ziya's paths cross once again after many years with Aslı and Mehmet's love.",/xWsCyt4hrJNZkS94DtUHk0FGQHa.jpg,tr,9.0,['TR'],tt24224504,Veda Mektubu,Drama,2023.0,0,Cherry Magic,Veda Mektubu,The Green Veil,Alparslan: Büyük Selçuklu
133,/5WapF85S70wgPYFhKY6ZeXMkRH9.jpg,"Achi is an ordinary employee at a stationary company. He's still single, still a virgin. When he turns thirty, however, he's shocked to find he's developed the power to read people's minds when making physical contact. He attempts to avoid contact with anyone, but it gets worse when Achi accidentally reads the mind of Karan, his most handsome, perfect colleague. He learns that this good-natured, smiley guy is falling for him. Following this incident, he does his best to keep his distance in order to nip Karan's feelings in the bud.",/q3PaIEPemFf3w4jGohaohFtnogm.jpg,th,9.0,['TH'],tt24640240,Cherry Magic,Drama,2023.0,0,Cherry Magic,Veda Mektubu,The Green Veil,Alparslan: Büyük Selçuklu
135,/wJUofdoKLU6UG1zk0P3hJVatQZv.jpg,"With just one bite, a mysterious homemade cookie turns dreams into reality, but it takes over the elite high school, and deadly consequences await.",/bcRAyKmdEZe8FOOedrjm2FRqr5Y.jpg,ko,7.462,['KR'],tt26626068,Hi Cookie,Drama,2023.0,0,Hi Cookie,Pit Babe,The Buccaneers,Black Knight
136,/jtM45bTIareE0qNraP5tN13qAZb.jpg,A married women has to fight for the things she lost because of the revealed secrets of her husband.,/3MGWHmUR0ezgQS5FQbjydG2nfLC.jpg,tr,8.375,['TR'],tt2735484,Karagül,Family,2013.0,9,Karagül,Violetta,Binny et le fantôme,Master's Sun
137,/daGuh4UzHFF8sSHrYHMw0mb2qBt.jpg,"Kim Ji-yong leads a double life as a Korean National Police University student by day and the Vigilante by night, personally punishing criminals who evade the law. He is surrounded by people who all possess different ulterior motives.",/lauvBkCZhcZHj5uUwUxwr5GTPps.jpg,ko,8.2,['KR'],tt27458539,Vigilante,Crime,2023.0,2,Vigilante,DENGELER: Biri Olmak,My Name,L'Enfant d'une Star
138,/3OLeiLbTdNFovd2zyBn2xgR8UWY.jpg,"A fallen queen, Jiang Xuening who aspired to have the highest power and authority in her life was held hostage by rebels after the king, Shen Jie was poisoned. In this life, she used everyone around her to reach the authority of the queen but in the end, she remained under house arrest and Xie Wei slaughtered the entire city. Later, she received the decree to be buried with the emperor. She got a second chance to change her fate by not entering the palace but when she woke up after rebirth, she was already messing around. Even though she vowed not to enter the palace, a certain turn of events again entangles her with the palace and Xie Wei whom she hated the most.",/hS7udvNJxgg9US5MoNq2fvkyR2X.jpg,zh,7.8,['CN'],tt27458928,Story of Kunning Palace,Drama,2023.0,0,Story of Kunning Palace,Faux,The Way Home,Un jour
139,/sjwF7hWN2FauC4ZyL2cfVM8DD35.jpg,"John Taylor lives in quiet solitude, designing puzzles for a living, under the nom-de-plume of 'Ludwig'. When his identical twin, James, disappears off the face of the earth, John takes over his brother's identity in a quest to discover his whereabouts.",/okPERzZxAiVWbd3B9qFepxa2Vfq.jpg,en,7.7,['GB'],tt27846061,Ludwig,Mystery,2024.0,6,Ludwig,My Happy End,Black Doves,Kumovi
140,/jgOOzEv02qgrO4aOJZeBIJJUTdG.jpg,"When a spy's secret lover is killed, an assassin is assigned to protect her life as she investigates the murder. Together they uncover a vast interconnected conspiracy that leads them to question the cost of their moral choices.",/2eZNjPQ9f0TQDHpsL2Ecktsv5v6.jpg,en,7.5,['GB'],tt27995113,Black Doves,Mystery,2024.0,6,Black Doves,Ludwig,Kid Sister,Unlock My Boss
141,/tgPkYUUcOWUpocPkt8KIfJMvEbf.jpg,"Babe, the number 1 racer, is Charlie's idol. Charlie wants to be just like Babe, but doesn't have a race car of his own. So he gathers up his courage and approaches Babe to ask to borrow one. For fun, Babe agrees and the two strike an interesting deal.",/rgD9fg018IEwvjhxpXTAfMwpq8M.jpg,th,7.5,['TH'],tt28209430,Pit Babe,Drama,2023.0,0,Pit Babe,The Buccaneers,Hi Cookie,Black Knight
142,/tCsToFpDPpHgPz6JSX3clIJ1CCs.jpg,"Two old friends go into business together – one's a master communicator, and the other's a great engineer. Their goal? To make a trillion dollars.",/yKWo0HdvMBo0WRaaAVTBIAgT1tM.jpg,ja,7.7,['JP'],tt28371434,Trillion Game,Drama,2023.0,0,Tout va bien,Trillion Game,Minuit au Pera Palace,Bad Romeo
144,/fGtLDLO5DNm6I49gjgfPzTZLRmS.jpg,"One wants to run a successful business, another wants to successfully pursue a Chinese girl. Unexpectedly, their desperate pursuits bring the two close together. Chinese businessman Yang is in pursuit of a Thai parternship, searching for a way to continue his business. He meets Phumjai who has it bad for Chinese influencer Tammy. Though they don't get on well, they need to call a truce for their own sake.",/jEFUM1qzHtLhnIr4dluEjmFjZ7o.jpg,th,7.214,['TH'],tt28694288,Love in Translation,Comedy,2023.0,5,Love in Translation,Last One Standing,Lopez contre Lopez,Dreamland
145,/z94XV4cVrhYnFOmEI9nYTb6yOQJ.jpg,"When Binny moves to a new house with her parents in Berlin, the spirit of a fourteen-year-old becomes her roommate. Binny needs to help the ghost in uncovering mysteries about his past and identity.",/9ILkE0uWtM8Liqv7VvT15MIT6zt.jpg,de,8.2,['DE'],tt2886428,Binny et le fantôme,Sci-Fi & Fantasy,2013.0,8,Binny et le fantôme,Master's Sun,Violetta,Karagül
146,/xLXFPtKfbf3xVswKNaAtTrRRDgp.jpg,"Mete and Naz are the favorite children of rich and powerful families. Both of them are spoiled and used to getting everything they want in life. Their story, which started with the promise of their families in their childhood, flows towards marriage today with their inability to break away from each other. But when Naz's maid İncila, who has been with him since childhood, suddenly appears in front of Mete, Mete questions all the decisions he has made in life. Will this encounter between İncila and Mete change the direction of the story Naz wrote with all her stubbornness and help Mete find true love?",/yr6dEnLoGBrnYVNcougM4k10Cx4.jpg,tr,7.0,['TR'],tt29626178,Sakla Beni,Drama,2023.0,0,Sakla Beni,Boat Story,The Responder,Suits
147,/oAWnDT3tIvw0KN2LoNtWRlaaTRs.jpg,"Seo Jaewon who suffered an unfortunate childhood, becomes an ambitious and driven CEO that chases after success. But when her obsession gets out of hand, she tries to escape from her unhealthy desires but her husband, a designer and college professor, gets swept up in the process.",/rfM9ZQ3kc7JGKd5RKCpXZ65SfO0.jpg,ko,7.8,['KR'],tt29720810,My Happy End,Mystery,2023.0,6,My Happy End,Ludwig,Kumovi,Harlem
149,/jlbUx0aHJupDVDlCo0R7UxSaUUd.jpg,"In a bet to prove whether ghosts or aliens exist, two high schoolers face terrifying paranormal threats, gain superpowers and maybe even fall in love?!",/6qfZAOEUFIrbUH3JvePclx1nXzz.jpg,ja,8.82,['JP'],tt30217403,Dandadan,Animation,2024.0,3,Dandadan,SPY×FAMILY,L'Enfant d'une Star,Ma Star
